Date,Description,Amount,CounterParty,Reference,Category
01/04/2024,EBAY COMMERCE UK LTD*EB LONDON,9.98,Ebay,AT240920027000010095778,General Purchases-Online Purchases
01/04/2024,HALFORDS                FOLKESTONE,45.9,Halfords,AT240930046000010133767,Travel-Auto Services
01/04/2024,ORCHARD LANE COFFEE HOU KENT,11.1,Orchard,AT240930046000010142040,Entertainment-Restaurants
01/04/2024,PAYPAL *BULLER LTD      4029357733,163.73,Paypal,AT240930083000010019596,General Purchases-Hardware Supplies
01/04/2024,Rad Burger (Folkstone)  Folkstone,14.25,Rad,AT240920027000010093424,Entertainment-Bars & Cafés
03/04/2024,AMZNMKTPLACE*HE16N5JM4  AMAZON.CO.UK,21.99,Amznmktplace*He16N5Jm4,AT240950077000010015456,General Purchases-Online Purchases
03/04/2024,PAYPAL *FOLKESTONEF     01303852692,175,Paypal,AT240950077000010017279,General Purchases-Hardware Supplies
03/04/2024,PAYPAL *FOLKESTONEF     01303852692,448.75,Paypal,AT240950077000010017453,General Purchases-Hardware Supplies
03/04/2024,SP CONDOR CYCLES        LONDON,35,Sp,AT240950044000010145792,General Purchases-General Retail
03/04/2024,Temper Soho             London,89.3,Temper,AT240950044000010136263,Entertainment-Restaurants
03/04/2024,TESCO STORE 2726 2726TE LONDON,4.4,Tesco,AT240940046000010119827,General Purchases-Groceries
03/04/2024,TRAINLINE trainline     LONDON,59.75,Trainline,AT240950044000010139128,Travel-Rail Services
03/04/2024,White Horse 16261682005 LONDON,14.1,White,AT240950044000010119279,Entertainment-Bars & Cafés
04/04/2024,CO-OP FOLKESTONE STATIO FOLKESTONE,7,Co-Op,AT240960037000010137924,General Purchases-Groceries
04/04/2024,ORCHARD LANE COFFEE HOU KENT,6.4,Orchard,AT240960037000010130162,Entertainment-Restaurants
04/04/2024,ZETTLE *THE OLD BUOY    FOLKESTONE,5.8,Zettle,AT240960037000010141738,Entertainment-Restaurants
04/04/2024,ZETTLE *THE OLD BUOY    FOLKESTONE,5.8,Zettle,AT240960037000010141812,Entertainment-Restaurants
05/04/2024,ASDA STORES             FOLKESTONE,23.54,Asda,AT240990047000010114683,General Purchases-Groceries
05/04/2024,SAINSBURY'S SUPERMARKET FOLKESTONE,4.6,Sainsbury'S,AT240970039000010142655,General Purchases-Groceries
05/04/2024,TESCO STORE 5226 5226TE FOLKESTONE,4.4,Tesco,AT240960037000010146443,General Purchases-Groceries
05/04/2024,WM MORRISONS STORES     FOLKESTONE,21.12,Wm,AT240970039000010126610,General Purchases-Groceries
