Period from,Period to,Agile Import price (p/kWh),Agile Export price (p/kWh)
02/06/2024 00:00,02/06/2024 00:30,14.91,7.45
02/06/2024 00:30,02/06/2024 01:00,14.91,7.45
02/06/2024 01:00,02/06/2024 01:30,14.91,7.45
02/06/2024 01:30,02/06/2024 02:00,14.91,7.45
02/06/2024 02:00,02/06/2024 02:30,14.91,7.45
02/06/2024 02:30,02/06/2024 03:00,14.70,7.36
02/06/2024 03:00,02/06/2024 03:30,12.81,6.51
02/06/2024 03:30,02/06/2024 04:00,12.81,6.51
02/06/2024 04:00,02/06/2024 04:30,12.81,6.51
02/06/2024 04:30,02/06/2024 05:00,12.60,6.42
02/06/2024 05:00,02/06/2024 05:30,11.97,6.14
02/06/2024 05:30,02/06/2024 06:00,10.52,5.49
02/06/2024 06:00,02/06/2024 06:30,10.08,5.29
02/06/2024 06:30,02/06/2024 07:00,12.10,6.19
02/06/2024 07:00,02/06/2024 07:30,10.92,5.67
02/06/2024 07:30,02/06/2024 08:00,13.02,6.61
02/06/2024 08:00,02/06/2024 08:30,12.26,6.27
02/06/2024 08:30,02/06/2024 09:00,13.02,6.61
02/06/2024 09:00,02/06/2024 09:30,11.97,6.14
02/06/2024 09:30,02/06/2024 10:00,11.97,6.14
02/06/2024 10:00,02/06/2024 10:30,11.97,6.14
02/06/2024 10:30,02/06/2024 11:00,11.97,6.14
02/06/2024 11:00,02/06/2024 11:30,11.97,6.14
02/06/2024 11:30,02/06/2024 12:00,10.50,5.48
02/06/2024 12:00,02/06/2024 12:30,10.92,5.67
02/06/2024 12:30,02/06/2024 13:00,10.50,5.48
02/06/2024 13:00,02/06/2024 13:30,13.02,6.61
02/06/2024 13:30,02/06/2024 14:00,10.52,5.49
02/06/2024 14:00,02/06/2024 14:30,10.50,5.48
02/06/2024 14:30,02/06/2024 15:00,10.50,5.48
02/06/2024 15:00,02/06/2024 15:30,10.50,5.48
02/06/2024 15:30,02/06/2024 16:00,10.52,5.49
02/06/2024 16:00,02/06/2024 16:30,25.20,11.75
02/06/2024 16:30,02/06/2024 17:00,27.72,12.88
02/06/2024 17:00,02/06/2024 17:30,31.84,14.72
02/06/2024 17:30,02/06/2024 18:00,33.47,15.45
02/06/2024 18:00,02/06/2024 18:30,32.76,15.13
02/06/2024 18:30,02/06/2024 19:00,33.89,15.64
02/06/2024 19:00,02/06/2024 19:30,18.92,9.25
02/06/2024 19:30,02/06/2024 20:00,19.45,9.48
02/06/2024 20:00,02/06/2024 20:30,19.17,9.36
02/06/2024 20:30,02/06/2024 21:00,18.06,8.86
02/06/2024 21:00,02/06/2024 21:30,19.34,9.44
02/06/2024 21:30,02/06/2024 22:00,18.48,9.05
02/06/2024 22:00,02/06/2024 22:30,18.48,9.05
02/06/2024 22:30,02/06/2024 23:00,17.75,8.72
02/06/2024 23:00,02/06/2024 23:30,17.22,8.49
02/06/2024 23:30,03/06/2024 00:00,16.80,8.30
03/06/2024 00:00,03/06/2024 00:30,15.88,7.89
03/06/2024 00:30,03/06/2024 01:00,15.46,7.70
03/06/2024 01:00,03/06/2024 01:30,14.45,7.25
03/06/2024 01:30,03/06/2024 02:00,14.45,7.25
03/06/2024 02:00,03/06/2024 02:30,13.44,6.80
03/06/2024 02:30,03/06/2024 03:00,13.44,6.80
03/06/2024 03:00,03/06/2024 03:30,13.44,6.80
03/06/2024 03:30,03/06/2024 04:00,12.83,6.52
03/06/2024 04:00,03/06/2024 04:30,13.88,6.99
03/06/2024 04:30,03/06/2024 05:00,13.10,6.65
03/06/2024 05:00,03/06/2024 05:30,14.07,7.08
03/06/2024 05:30,03/06/2024 06:00,14.89,7.44
03/06/2024 06:00,03/06/2024 06:30,16.80,8.30
03/06/2024 06:30,03/06/2024 07:00,18.88,9.23
03/06/2024 07:00,03/06/2024 07:30,20.68,10.04
03/06/2024 07:30,03/06/2024 08:00,24.57,11.78
03/06/2024 08:00,03/06/2024 08:30,19.74,9.62
03/06/2024 08:30,03/06/2024 09:00,20.16,9.80
03/06/2024 09:00,03/06/2024 09:30,18.27,8.96
03/06/2024 09:30,03/06/2024 10:00,17.14,8.45
