PeriodFrom,PeriodTo,CarbonIntensity,CarbonIntensityRolling,Asset_load,New_asset_load,New_asset_load_rolling
2024-06-01 23:30:00,2024-06-02 00:00:00,159,,1,1,
2024-06-02 00:00:00,2024-06-02 00:30:00,163,,1,1,
2024-06-02 00:30:00,2024-06-02 01:00:00,160,,1,1,
2024-06-02 01:00:00,2024-06-02 01:30:00,151,,1,1,
2024-06-02 01:30:00,2024-06-02 02:00:00,129,,1,1,
2024-06-02 02:00:00,2024-06-02 02:30:00,114,,1,1,
2024-06-02 02:30:00,2024-06-02 03:00:00,120,,1,1,
2024-06-02 03:00:00,2024-06-02 03:30:00,117,,1,1,
2024-06-02 03:30:00,2024-06-02 04:00:00,127,,1,1,
2024-06-02 04:00:00,2024-06-02 04:30:00,140,,1,1,
2024-06-02 04:30:00,2024-06-02 05:00:00,144,,1,1,
2024-06-02 05:00:00,2024-06-02 05:30:00,149,,1,1,
2024-06-02 05:30:00,2024-06-02 06:00:00,135,,1,1,
2024-06-02 06:00:00,2024-06-02 06:30:00,133,,1,1,
2024-06-02 06:30:00,2024-06-02 07:00:00,133,,1,1,
2024-06-02 07:00:00,2024-06-02 07:30:00,131,,1,1,
2024-06-02 07:30:00,2024-06-02 08:00:00,122,,1,1,
2024-06-02 08:00:00,2024-06-02 08:30:00,112,,1,1,
2024-06-02 08:30:00,2024-06-02 09:00:00,98,,1,1,
2024-06-02 09:00:00,2024-06-02 09:30:00,93,,1,1,
2024-06-02 09:30:00,2024-06-02 10:00:00,92,,1,1,
2024-06-02 10:00:00,2024-06-02 10:30:00,75,,1,1,
2024-06-02 10:30:00,2024-06-02 11:00:00,64,,1,1,
2024-06-02 11:00:00,2024-06-02 11:30:00,63,,1,1,
2024-06-02 11:30:00,2024-06-02 12:00:00,69,,1,1,
2024-06-02 12:00:00,2024-06-02 12:30:00,104,,1,1,
2024-06-02 12:30:00,2024-06-02 13:00:00,102,,1,1,
2024-06-02 13:00:00,2024-06-02 13:30:00,103,,1,1,
2024-06-02 13:30:00,2024-06-02 14:00:00,112,,1,1,
2024-06-02 14:00:00,2024-06-02 14:30:00,118,,1,1,
2024-06-02 14:30:00,2024-06-02 15:00:00,144,,1,1,
2024-06-02 15:00:00,2024-06-02 15:30:00,160,,1,1,
2024-06-02 15:30:00,2024-06-02 16:00:00,182,,1,1,
2024-06-02 16:00:00,2024-06-02 16:30:00,213,,1,1,
2024-06-02 16:30:00,2024-06-02 17:00:00,234,,1,1,
2024-06-02 17:00:00,2024-06-02 17:30:00,245,,1,1,
2024-06-02 17:30:00,2024-06-02 18:00:00,248,,1,1,
2024-06-02 18:00:00,2024-06-02 18:30:00,250,,1,1,
2024-06-02 18:30:00,2024-06-02 19:00:00,252,,1,1,
2024-06-02 19:00:00,2024-06-02 19:30:00,255,,1,1,
2024-06-02 19:30:00,2024-06-02 20:00:00,260,,1,1,
