PeriodFrom,PeriodTo,CarbonIntensity
2024-06-01T23:30Z,2024-06-02T00:00Z,159
2024-06-02T00:00Z,2024-06-02T00:30Z,163
2024-06-02T00:30Z,2024-06-02T01:00Z,160
2024-06-02T01:00Z,2024-06-02T01:30Z,151
2024-06-02T01:30Z,2024-06-02T02:00Z,129
2024-06-02T02:00Z,2024-06-02T02:30Z,114
2024-06-02T02:30Z,2024-06-02T03:00Z,120
2024-06-02T03:00Z,2024-06-02T03:30Z,117
2024-06-02T03:30Z,2024-06-02T04:00Z,127
2024-06-02T04:00Z,2024-06-02T04:30Z,140
2024-06-02T04:30Z,2024-06-02T05:00Z,144
2024-06-02T05:00Z,2024-06-02T05:30Z,149
2024-06-02T05:30Z,2024-06-02T06:00Z,135
2024-06-02T06:00Z,2024-06-02T06:30Z,133
2024-06-02T06:30Z,2024-06-02T07:00Z,133
2024-06-02T07:00Z,2024-06-02T07:30Z,131
2024-06-02T07:30Z,2024-06-02T08:00Z,122
2024-06-02T08:00Z,2024-06-02T08:30Z,112
2024-06-02T08:30Z,2024-06-02T09:00Z,98
2024-06-02T09:00Z,2024-06-02T09:30Z,93
2024-06-02T09:30Z,2024-06-02T10:00Z,92
2024-06-02T10:00Z,2024-06-02T10:30Z,75
2024-06-02T10:30Z,2024-06-02T11:00Z,64
2024-06-02T11:00Z,2024-06-02T11:30Z,63
2024-06-02T11:30Z,2024-06-02T12:00Z,69
2024-06-02T12:00Z,2024-06-02T12:30Z,104
2024-06-02T12:30Z,2024-06-02T13:00Z,102
2024-06-02T13:00Z,2024-06-02T13:30Z,103
2024-06-02T13:30Z,2024-06-02T14:00Z,112
2024-06-02T14:00Z,2024-06-02T14:30Z,118
2024-06-02T14:30Z,2024-06-02T15:00Z,144
2024-06-02T15:00Z,2024-06-02T15:30Z,160
2024-06-02T15:30Z,2024-06-02T16:00Z,182
2024-06-02T16:00Z,2024-06-02T16:30Z,213
2024-06-02T16:30Z,2024-06-02T17:00Z,234
2024-06-02T17:00Z,2024-06-02T17:30Z,245
2024-06-02T17:30Z,2024-06-02T18:00Z,248
2024-06-02T18:00Z,2024-06-02T18:30Z,250
2024-06-02T18:30Z,2024-06-02T19:00Z,252
2024-06-02T19:00Z,2024-06-02T19:30Z,255
2024-06-02T19:30Z,2024-06-02T20:00Z,260
2024-06-02T20:00Z,2024-06-02T20:30Z,260
2024-06-02T20:30Z,2024-06-02T21:00Z,258
2024-06-02T21:00Z,2024-06-02T21:30Z,251
2024-06-02T21:30Z,2024-06-02T22:00Z,235
2024-06-02T22:00Z,2024-06-02T22:30Z,215
2024-06-02T22:30Z,2024-06-02T23:00Z,200
2024-06-02T23:00Z,2024-06-02T23:30Z,194
2024-06-02T23:30Z,2024-06-03T00:00Z,199
2024-06-03T00:00Z,2024-06-03T00:30Z,187
2024-06-03T00:30Z,2024-06-03T01:00Z,178
2024-06-03T01:00Z,2024-06-03T01:30Z,166
2024-06-03T01:30Z,2024-06-03T02:00Z,161
2024-06-03T02:00Z,2024-06-03T02:30Z,183
2024-06-03T02:30Z,2024-06-03T03:00Z,170
2024-06-03T03:00Z,2024-06-03T03:30Z,177
2024-06-03T03:30Z,2024-06-03T04:00Z,185
2024-06-03T04:00Z,2024-06-03T04:30Z,192
2024-06-03T04:30Z,2024-06-03T05:00Z,204
2024-06-03T05:00Z,2024-06-03T05:30Z,220
2024-06-03T05:30Z,2024-06-03T06:00Z,215
2024-06-03T06:00Z,2024-06-03T06:30Z,210
2024-06-03T06:30Z,2024-06-03T07:00Z,207
2024-06-03T07:00Z,2024-06-03T07:30Z,194
2024-06-03T07:30Z,2024-06-03T08:00Z,182
2024-06-03T08:00Z,2024-06-03T08:30Z,189
2024-06-03T08:30Z,2024-06-03T09:00Z,187
2024-06-03T09:00Z,2024-06-03T09:30Z,174
2024-06-03T09:30Z,2024-06-03T10:00Z,177
2024-06-03T10:00Z,2024-06-03T10:30Z,187
2024-06-03T10:30Z,2024-06-03T11:00Z,193
2024-06-03T11:00Z,2024-06-03T11:30Z,186
2024-06-03T11:30Z,2024-06-03T12:00Z,196
2024-06-03T12:00Z,2024-06-03T12:30Z,200
2024-06-03T12:30Z,2024-06-03T13:00Z,199
2024-06-03T13:00Z,2024-06-03T13:30Z,204
2024-06-03T13:30Z,2024-06-03T14:00Z,204
2024-06-03T14:00Z,2024-06-03T14:30Z,221
2024-06-03T14:30Z,2024-06-03T15:00Z,241
2024-06-03T15:00Z,2024-06-03T15:30Z,256
2024-06-03T15:30Z,2024-06-03T16:00Z,267
2024-06-03T16:00Z,2024-06-03T16:30Z,285
2024-06-03T16:30Z,2024-06-03T17:00Z,282
2024-06-03T17:00Z,2024-06-03T17:30Z,292
2024-06-03T17:30Z,2024-06-03T18:00Z,299
2024-06-03T18:00Z,2024-06-03T18:30Z,309
2024-06-03T18:30Z,2024-06-03T19:00Z,308
2024-06-03T19:00Z,2024-06-03T19:30Z,289
2024-06-03T19:30Z,2024-06-03T20:00Z,293
2024-06-03T20:00Z,2024-06-03T20:30Z,295
2024-06-03T20:30Z,2024-06-03T21:00Z,289
2024-06-03T21:00Z,2024-06-03T21:30Z,277
2024-06-03T21:30Z,2024-06-03T22:00Z,248
2024-06-03T22:00Z,2024-06-03T22:30Z,225
2024-06-03T22:30Z,2024-06-03T23:00Z,219
2024-06-03T23:00Z,2024-06-03T23:30Z,210
2024-06-03T23:30Z,2024-06-04T00:00Z,188
2024-06-04T00:00Z,2024-06-04T00:30Z,174
2024-06-04T00:30Z,2024-06-04T01:00Z,176
2024-06-04T01:00Z,2024-06-04T01:30Z,169
2024-06-04T01:30Z,2024-06-04T02:00Z,165
2024-06-04T02:00Z,2024-06-04T02:30Z,169
2024-06-04T02:30Z,2024-06-04T03:00Z,179
2024-06-04T03:00Z,2024-06-04T03:30Z,177
2024-06-04T03:30Z,2024-06-04T04:00Z,179
2024-06-04T04:00Z,2024-06-04T04:30Z,183
2024-06-04T04:30Z,2024-06-04T05:00Z,167
2024-06-04T05:00Z,2024-06-04T05:30Z,169
2024-06-04T05:30Z,2024-06-04T06:00Z,176
2024-06-04T06:00Z,2024-06-04T06:30Z,171
