unix_timestamp,Agile Import price (p/kWh),Agile Export price (p/kWh),Asset_load,New_asset_load,New_asset_load_rolling,Carbon Intensity,Carbon Optimised Emission,Carbon Unoptimised Emission,Carbon Optimised Cost Savings,Price Optimised Cost,Price Unoptimised Cost,Price Optimised Emission Savings
1717282800,14.91,7.45,1,0,,159.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717284600,14.91,7.45,1,1,,163.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717286400,14.91,7.45,1,1,,160.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717288200,14.91,7.45,1,1,,151.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717290000,14.91,7.45,1,1,,129.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717291800,14.7,7.36,1,1,,114.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717293600,12.81,6.51,1,1,,120.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717295400,12.81,6.51,1,1,,117.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717297200,12.81,6.51,1,1,,127.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717299000,12.6,6.42,1,1,,140.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717300800,11.97,6.14,1,0,,144.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717302600,10.52,5.49,1,1,,149.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717304400,10.08,5.29,1,1,,135.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717306200,12.1,6.19,1,1,,133.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717308000,10.92,5.67,1,1,,133.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717309800,13.02,6.61,1,1,,131.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717311600,12.26,6.27,1,1,,122.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717313400,13.02,6.61,1,1,,112.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717315200,11.97,6.14,1,1,,98.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717317000,11.97,6.14,1,1,,93.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717318800,11.97,6.14,1,0,,92.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717320600,11.97,6.14,1,1,,75.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717322400,11.97,6.14,1,1,,64.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717324200,10.5,5.48,1,1,,63.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717326000,10.92,5.67,1,1,,69.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717327800,10.5,5.48,1,1,,104.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717329600,13.02,6.61,1,1,,102.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717331400,10.52,5.49,1,1,,103.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717333200,10.5,5.48,1,1,,112.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717335000,10.5,5.48,1,1,,118.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717336800,10.5,5.48,1,0,,144.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717338600,10.52,5.49,1,1,,160.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717340400,25.2,11.75,1,1,,182.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717342200,27.72,12.88,1,1,,213.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717344000,31.84,14.72,1,1,,234.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717345800,33.47,15.45,1,1,,245.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717347600,32.76,15.13,1,1,,248.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717349400,33.89,15.64,1,1,,250.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717351200,18.92,9.25,1,1,,252.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717353000,19.45,9.48,1,1,,255.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717354800,19.17,9.36,1,0,,260.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717356600,18.06,8.86,1,1,,260.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
