Period from,Period to,Agile Import price (p/kWh),Agile Export price (p/kWh),Price_moving_avg,Asset_load,New_asset_load,New_asset_load_rolling
2024-06-02 00:00:00,2024-06-02 00:30:00,14.91,7.45,,1,0,
2024-06-02 00:30:00,2024-06-02 01:00:00,14.91,7.45,,1,1,
2024-06-02 01:00:00,2024-06-02 01:30:00,14.91,7.45,,1,1,
2024-06-02 01:30:00,2024-06-02 02:00:00,14.91,7.45,,1,1,
2024-06-02 02:00:00,2024-06-02 02:30:00,14.91,7.45,,1,1,
2024-06-02 02:30:00,2024-06-02 03:00:00,14.7,7.36,,1,1,
2024-06-02 03:00:00,2024-06-02 03:30:00,12.81,6.51,,1,1,
2024-06-02 03:30:00,2024-06-02 04:00:00,12.81,6.51,,1,1,
2024-06-02 04:00:00,2024-06-02 04:30:00,12.81,6.51,,1,1,
2024-06-02 04:30:00,2024-06-02 05:00:00,12.6,6.42,,1,1,
2024-06-02 05:00:00,2024-06-02 05:30:00,11.97,6.14,,1,0,
2024-06-02 05:30:00,2024-06-02 06:00:00,10.52,5.49,,1,1,
2024-06-02 06:00:00,2024-06-02 06:30:00,10.08,5.29,,1,1,
2024-06-02 06:30:00,2024-06-02 07:00:00,12.1,6.19,,1,1,
2024-06-02 07:00:00,2024-06-02 07:30:00,10.92,5.67,,1,1,
2024-06-02 07:30:00,2024-06-02 08:00:00,13.02,6.61,,1,1,
2024-06-02 08:00:00,2024-06-02 08:30:00,12.26,6.27,,1,1,
2024-06-02 08:30:00,2024-06-02 09:00:00,13.02,6.61,,1,1,
2024-06-02 09:00:00,2024-06-02 09:30:00,11.97,6.14,,1,1,
2024-06-02 09:30:00,2024-06-02 10:00:00,11.97,6.14,,1,1,
2024-06-02 10:00:00,2024-06-02 10:30:00,11.97,6.14,,1,0,
2024-06-02 10:30:00,2024-06-02 11:00:00,11.97,6.14,,1,1,
2024-06-02 11:00:00,2024-06-02 11:30:00,11.97,6.14,,1,1,
2024-06-02 11:30:00,2024-06-02 12:00:00,10.5,5.48,,1,1,
2024-06-02 12:00:00,2024-06-02 12:30:00,10.92,5.67,,1,1,
2024-06-02 12:30:00,2024-06-02 13:00:00,10.5,5.48,,1,1,
2024-06-02 13:00:00,2024-06-02 13:30:00,13.02,6.61,,1,1,
2024-06-02 13:30:00,2024-06-02 14:00:00,10.52,5.49,,1,1,
2024-06-02 14:00:00,2024-06-02 14:30:00,10.5,5.48,,1,1,
2024-06-02 14:30:00,2024-06-02 15:00:00,10.5,5.48,,1,1,
2024-06-02 15:00:00,2024-06-02 15:30:00,10.5,5.48,,1,0,
2024-06-02 15:30:00,2024-06-02 16:00:00,10.52,5.49,,1,1,
2024-06-02 16:00:00,2024-06-02 16:30:00,25.2,11.75,,1,1,
2024-06-02 16:30:00,2024-06-02 17:00:00,27.72,12.88,,1,1,
2024-06-02 17:00:00,2024-06-02 17:30:00,31.84,14.72,,1,1,
2024-06-02 17:30:00,2024-06-02 18:00:00,33.47,15.45,,1,1,
2024-06-02 18:00:00,2024-06-02 18:30:00,32.76,15.13,,1,1,
2024-06-02 18:30:00,2024-06-02 19:00:00,33.89,15.64,,1,1,
2024-06-02 19:00:00,2024-06-02 19:30:00,18.92,9.25,,1,1,
2024-06-02 19:30:00,2024-06-02 20:00:00,19.45,9.48,,1,1,
2024-06-02 20:00:00,2024-06-02 20:30:00,19.17,9.36,,1,0,
2024-06-02 20:30:00,2024-06-02 21:00:00,18.06,8.86,,1,1,
2024-06-02 21:00:00,2024-06-02 21:30:00,19.34,9.44,,1,1,
2024-06-02 21:30:00,2024-06-02 22:00:00,18.48,9.05,,1,1,
2024-06-02 22:00:00,2024-06-02 22:30:00,18.48,9.05,,1,1,
2024-06-02 22:30:00,2024-06-02 23:00:00,17.75,8.72,,1,1,
2024-06-02 23:00:00,2024-06-02 23:30:00,17.22,8.49,,1,1,
2024-06-02 23:30:00,2024-06-03 00:00:00,16.8,8.3,,1,1,
2024-06-03 00:00:00,2024-06-03 00:30:00,15.88,7.89,,1,1,
2024-06-03 00:30:00,2024-06-03 01:00:00,15.46,7.7,,1,1,
2024-06-03 01:00:00,2024-06-03 01:30:00,14.45,7.25,,1,0,
2024-06-03 01:30:00,2024-06-03 02:00:00,14.45,7.25,,1,1,
2024-06-03 02:00:00,2024-06-03 02:30:00,13.44,6.8,,1,1,
2024-06-03 02:30:00,2024-06-03 03:00:00,13.44,6.8,,1,1,
2024-06-03 03:00:00,2024-06-03 03:30:00,13.44,6.8,,1,1,
2024-06-03 03:30:00,2024-06-03 04:00:00,12.83,6.52,,1,1,
2024-06-03 04:00:00,2024-06-03 04:30:00,13.88,6.99,,1,1,
2024-06-03 04:30:00,2024-06-03 05:00:00,13.1,6.65,,1,1,
2024-06-03 05:00:00,2024-06-03 05:30:00,14.07,7.08,,1,1,
2024-06-03 05:30:00,2024-06-03 06:00:00,14.89,7.44,,1,1,
2024-06-03 06:00:00,2024-06-03 06:30:00,16.8,8.3,,1,0,
2024-06-03 06:30:00,2024-06-03 07:00:00,18.88,9.23,,1,1,
2024-06-03 07:00:00,2024-06-03 07:30:00,20.68,10.04,,1,1,
2024-06-03 07:30:00,2024-06-03 08:00:00,24.57,11.78,,1,1,
2024-06-03 08:00:00,2024-06-03 08:30:00,19.74,9.62,,1,1,
2024-06-03 08:30:00,2024-06-03 09:00:00,20.16,9.8,,1,1,
2024-06-03 09:00:00,2024-06-03 09:30:00,18.27,8.96,,1,1,
2024-06-03 09:30:00,2024-06-03 10:00:00,17.14,8.45,,1,1,
2024-06-03 10:00:00,2024-06-03 10:30:00,18.14,8.9,,1,1,
2024-06-03 10:30:00,2024-06-03 11:00:00,18.06,8.86,,1,1,
2024-06-03 11:00:00,2024-06-03 11:30:00,17.22,8.49,,1,0,
2024-06-03 11:30:00,2024-06-03 12:00:00,16.53,8.18,,1,1,
2024-06-03 12:00:00,2024-06-03 12:30:00,16.51,8.17,,1,1,
2024-06-03 12:30:00,2024-06-03 13:00:00,15.75,7.83,,1,1,
2024-06-03 13:00:00,2024-06-03 13:30:00,15.33,7.64,,1,1,
2024-06-03 13:30:00,2024-06-03 14:00:00,15.12,7.55,,1,1,
2024-06-03 14:00:00,2024-06-03 14:30:00,15.12,7.55,,1,1,
2024-06-03 14:30:00,2024-06-03 15:00:00,14.53,7.28,,1,1,
2024-06-03 15:00:00,2024-06-03 15:30:00,15.09,7.53,,1,1,
2024-06-03 15:30:00,2024-06-03 16:00:00,15.98,7.93,,1,1,
2024-06-03 16:00:00,2024-06-03 16:30:00,30.2,13.99,,1,0,
2024-06-03 16:30:00,2024-06-03 17:00:00,31.96,14.78,,1,1,
2024-06-03 17:00:00,2024-06-03 17:30:00,34.92,16.1,,1,1,
2024-06-03 17:30:00,2024-06-03 18:00:00,33.6,15.51,,1,1,
2024-06-03 18:00:00,2024-06-03 18:30:00,36.71,16.9,,1,1,
2024-06-03 18:30:00,2024-06-03 19:00:00,35.91,16.54,,1,1,
2024-06-03 19:00:00,2024-06-03 19:30:00,24.78,11.87,,1,1,
2024-06-03 19:30:00,2024-06-03 20:00:00,23.52,11.31,,1,1,
2024-06-03 20:00:00,2024-06-03 20:30:00,23.31,11.21,,1,1,
2024-06-03 20:30:00,2024-06-03 21:00:00,22.87,11.02,,1,1,
2024-06-03 21:00:00,2024-06-03 21:30:00,21.63,10.46,,1,0,
2024-06-03 21:30:00,2024-06-03 22:00:00,19.8,9.64,,1,1,
2024-06-03 22:00:00,2024-06-03 22:30:00,19.49,9.5,,1,1,
2024-06-03 22:30:00,2024-06-03 23:00:00,17.64,8.68,,1,1,
2024-06-03 23:00:00,2024-06-03 23:30:00,18.69,9.15,,1,1,
2024-06-03 23:30:00,2024-06-04 00:00:00,20.16,9.8,,1,1,
2024-06-04 00:00:00,2024-06-04 00:30:00,17.91,8.8,,1,1,
2024-06-04 00:30:00,2024-06-04 01:00:00,17.6,8.66,,1,1,
2024-06-04 01:00:00,2024-06-04 01:30:00,17.3,8.53,,1,1,
