business_id,mpxn,timestamp,total_consumption,boiler,electric_radiator,cooler_freezer,oven,microwave,vrf_system,split_system
1,9876543210,2023-07-01 00:00:00,27.08,10.77,0.86,0.29,5.03,1.29,5.1,3.73
1,9876543210,2023-07-01 00:30:00,32.35,12.87,1.03,0.35,6.01,1.54,6.09,4.46
1,9876543210,2023-07-01 01:00:00,32.32,12.86,1.03,0.35,6.0,1.54,6.09,4.46
1,9876543210,2023-07-01 01:30:00,27.78,11.05,0.88,0.3,5.16,1.33,5.23,3.83
1,9876543210,2023-07-01 02:00:00,28.56,11.36,0.91,0.31,5.3,1.36,5.38,3.94
1,9876543210,2023-07-01 02:30:00,28.3,11.26,0.9,0.31,5.25,1.35,5.33,3.9
1,9876543210,2023-07-01 03:00:00,31.58,12.56,1.01,0.34,5.86,1.51,5.95,4.36
1,9876543210,2023-07-01 03:30:00,30.82,12.26,0.98,0.33,5.72,1.47,5.8,4.25
1,9876543210,2023-07-01 04:00:00,32.42,12.9,1.03,0.35,6.02,1.55,6.1,4.47
1,9876543210,2023-07-01 05:00:00,5.53,2.2,0.18,0.06,1.03,0.26,1.04,0.76
1,9876543210,2023-07-01 05:30:00,4.71,1.87,0.15,0.05,0.87,0.22,0.89,0.65
1,9876543210,2023-07-01 06:00:00,7.47,2.97,0.24,0.08,1.39,0.36,1.41,1.03
1,9876543210,2023-07-01 06:30:00,11.25,4.48,0.36,0.12,2.09,0.54,2.12,1.55
1,9876543210,2023-07-01 07:00:00,5.99,2.38,0.19,0.06,1.11,0.29,1.13,0.83
1,9876543210,2023-07-01 07:30:00,9.07,3.61,0.29,0.1,1.68,0.43,1.71,1.25
1,9876543210,2023-07-01 08:00:00,8.81,3.5,0.28,0.1,1.64,0.42,1.66,1.21
1,9876543210,2023-07-01 08:30:00,10.62,4.22,0.34,0.11,1.97,0.51,2.0,1.46
1,9876543210,2023-07-01 09:00:00,4.48,1.78,0.14,0.05,0.83,0.21,0.84,0.62
1,9876543210,2023-07-01 09:30:00,5.17,2.06,0.16,0.06,0.96,0.25,0.97,0.71
1,9876543210,2023-07-01 10:00:00,7.93,3.15,0.25,0.09,1.47,0.38,1.49,1.09
1,9876543210,2023-07-01 11:00:00,15.29,6.08,0.49,0.17,2.84,0.73,2.88,2.11
1,9876543210,2023-07-01 11:30:00,16.73,6.66,0.53,0.18,3.11,0.8,3.15,2.31
1,9876543210,2023-07-01 12:00:00,19.69,7.83,0.63,0.21,3.66,0.94,3.71,2.72
1,9876543210,2023-07-01 12:30:00,18.7,7.44,0.6,0.2,3.47,0.89,3.52,2.58
1,9876543210,2023-07-01 13:00:00,19.26,7.66,0.61,0.21,3.58,0.92,3.63,2.66
1,9876543210,2023-07-01 14:00:00,20.23,8.05,0.64,0.22,3.76,0.97,3.81,2.79
1,9876543210,2023-07-01 14:30:00,20.69,8.23,0.66,0.22,3.84,0.99,3.9,2.85
1,9876543210,2023-07-01 15:00:00,20.34,8.09,0.65,0.22,3.78,0.97,3.83,2.8
1,9876543210,2023-07-01 15:30:00,15.32,6.09,0.49,0.17,2.84,0.73,2.88,2.11
1,9876543210,2023-07-01 16:00:00,20.97,8.34,0.67,0.23,3.89,1.0,3.95,2.89
1,9876543210,2023-07-01 17:00:00,18.65,7.42,0.59,0.2,3.46,0.89,3.51,2.57
1,9876543210,2023-07-01 17:30:00,21.57,8.58,0.69,0.23,4.0,1.03,4.06,2.97
1,9876543210,2023-07-01 18:00:00,21.25,8.45,0.68,0.23,3.94,1.01,4.0,2.93
1,9876543210,2023-07-01 18:30:00,17.99,7.16,0.57,0.19,3.34,0.86,3.39,2.48
1,9876543210,2023-07-01 19:00:00,22.03,8.76,0.7,0.24,4.09,1.05,4.15,3.04
1,9876543210,2023-07-01 19:30:00,22.09,8.79,0.7,0.24,4.1,1.05,4.16,3.05
1,9876543210,2023-07-01 20:00:00,20.52,8.16,0.65,0.22,3.81,0.98,3.86,2.83
1,9876543210,2023-07-01 20:30:00,19.93,7.93,0.63,0.22,3.7,0.95,3.75,2.75
1,9876543210,2023-07-01 21:00:00,18.16,7.22,0.58,0.2,3.37,0.87,3.42,2.5
1,9876543210,2023-07-01 22:00:00,10.96,4.36,0.35,0.12,2.03,0.52,2.06,1.51
1,9876543210,2023-07-01 22:30:00,7.3,2.9,0.23,0.08,1.36,0.35,1.37,1.01
1,9876543210,2023-07-01 23:00:00,8.86,3.52,0.28,0.1,1.64,0.42,1.67,1.22
1,9876543210,2023-07-02 00:00:00,29.45,11.72,0.94,0.32,5.47,1.41,5.55,4.06
1,9876543210,2023-07-02 00:30:00,29.57,11.76,0.94,0.32,5.49,1.41,5.57,4.08
1,9876543210,2023-07-02 01:00:00,29.04,11.55,0.92,0.31,5.39,1.39,5.47,4.0
1,9876543210,2023-07-02 01:30:00,29.13,11.59,0.93,0.31,5.41,1.39,5.49,4.02
1,9876543210,2023-07-02 02:00:00,29.19,11.61,0.93,0.32,5.42,1.39,5.5,4.03
1,9876543210,2023-07-02 02:30:00,31.81,12.65,1.01,0.34,5.91,1.52,5.99,4.39
1,9876543210,2023-07-02 03:00:00,32.5,12.93,1.03,0.35,6.03,1.55,6.12,4.48
1,9876543210,2023-07-02 03:30:00,29.03,11.55,0.92,0.31,5.39,1.39,5.47,4.0
