economy_type,timestamp,unit_price
Fixed,00:30:00,0.29
Fixed,01:00:00,0.29
Fixed,01:30:00,0.29
Fixed,02:00:00,0.29
Fixed,02:30:00,0.29
Fixed,03:00:00,0.29
Fixed,03:30:00,0.29
Fixed,04:00:00,0.29
Fixed,04:30:00,0.29
Fixed,05:00:00,0.29
Fixed,05:30:00,0.29
Fixed,06:00:00,0.29
Fixed,06:30:00,0.29
Fixed,07:00:00,0.29
Fixed,07:30:00,0.29
Fixed,08:00:00,0.29
Fixed,08:30:00,0.29
Fixed,09:00:00,0.29
Fixed,09:30:00,0.29
Fixed,10:00:00,0.29
Fixed,10:30:00,0.29
Fixed,11:00:00,0.29
Fixed,11:30:00,0.29
Fixed,12:00:00,0.29
Fixed,12:30:00,0.29
Fixed,13:00:00,0.29
Fixed,13:30:00,0.29
Fixed,14:00:00,0.29
Fixed,14:30:00,0.29
Fixed,15:00:00,0.29
Fixed,15:30:00,0.29
Fixed,16:00:00,0.29
Fixed,16:30:00,0.29
Fixed,17:00:00,0.29
Fixed,17:30:00,0.29
Fixed,18:00:00,0.29
Fixed,18:30:00,0.29
Fixed,19:00:00,0.29
Fixed,19:30:00,0.29
Fixed,20:00:00,0.29
Fixed,20:30:00,0.29
Fixed,21:00:00,0.29
Fixed,21:30:00,0.29
Fixed,22:00:00,0.29
Fixed,22:30:00,0.29
Fixed,23:00:00,0.29
Fixed,23:30:00,0.29
Fixed,00:00:00,0.29
Economy 5,00:30:00,0.08988
Economy 5,01:00:00,0.08988
Economy 5,01:30:00,0.08988
Economy 5,02:00:00,0.08988
Economy 5,02:30:00,0.08988
Economy 5,03:00:00,0.08988
Economy 5,03:30:00,0.08988
Economy 5,04:00:00,0.08988
Economy 5,04:30:00,0.08988
Economy 5,05:00:00,0.08988
Economy 5,05:30:00,0.288
Economy 5,06:00:00,0.288
Economy 5,06:30:00,0.288
Economy 5,07:00:00,0.288
Economy 5,07:30:00,0.288
Economy 5,08:00:00,0.288
Economy 5,08:30:00,0.288
Economy 5,09:00:00,0.288
Economy 5,09:30:00,0.288
Economy 5,10:00:00,0.288
Economy 5,10:30:00,0.288
Economy 5,11:00:00,0.288
Economy 5,11:30:00,0.288
Economy 5,12:00:00,0.288
Economy 5,12:30:00,0.288
Economy 5,13:00:00,0.288
Economy 5,13:30:00,0.288
Economy 5,14:00:00,0.288
Economy 5,14:30:00,0.288
Economy 5,15:00:00,0.288
Economy 5,15:30:00,0.288
Economy 5,16:00:00,0.288
Economy 5,16:30:00,0.288
Economy 5,17:00:00,0.288
Economy 5,17:30:00,0.288
Economy 5,18:00:00,0.288
Economy 5,18:30:00,0.288
Economy 5,19:00:00,0.288
Economy 5,19:30:00,0.288
Economy 5,20:00:00,0.288
Economy 5,20:30:00,0.288
Economy 5,21:00:00,0.288
Economy 5,21:30:00,0.288
Economy 5,22:00:00,0.288
Economy 5,22:30:00,0.288
Economy 5,23:00:00,0.288
Economy 5,23:30:00,0.288
Economy 5,00:00:00,0.288
Economy 7,00:30:00,0.08988
Economy 7,01:00:00,0.08988
