Interval Start,Octopus Agile (Apr 24) Price (p/kWh),Octopus Agile (Apr 24) Price (p/kWh),Consumption,Octopus Agile (Apr 24) Cost (p),Octopus Agile (Apr 24) Cost (p),Carbon Intensity (gCO2/kWh),Carbon Footprint(gCO2)
2024-06-01T20:00:00+01:00,19.824,19.824,0.135,2.6762400000000004,2.6762400000000004,78,10.530000000000001,
2024-06-01T20:30:00+01:00,19.824,19.824,0.139,2.7555360000000007,2.7555360000000007,86,11.954,
2024-06-01T21:00:00+01:00,19.53,19.53,0.232,4.53096,4.53096,90,20.880000000000003,
2024-06-01T21:30:00+01:00,18.9,18.9,0.26,4.914,4.914,91,23.66,
2024-06-01T22:00:00+01:00,20.475,20.475,0.293,5.999175,5.999175,93,27.249,
2024-06-01T22:30:00+01:00,17.997,17.997,0.393,7.072821,7.072821,89,34.977000000000004,
2024-06-01T23:00:00+01:00,17.43,17.43,0.512,8.92416,8.92416,78,39.936,
2024-06-01T23:30:00+01:00,15.141,15.141,0.582,8.812062,8.812062,75,43.65,
2024-06-02T00:00:00+01:00,14.91,14.91,0.495,7.38045,7.38045,76,37.62,
2024-06-02T00:30:00+01:00,14.91,14.91,0.487,7.26117,7.26117,81,39.446999999999996,
2024-06-02T01:00:00+01:00,14.91,14.91,0.485,7.23135,7.23135,82,39.769999999999996,
2024-06-02T01:30:00+01:00,14.91,14.91,0.492,7.33572,7.33572,93,45.756,
2024-06-02T02:00:00+01:00,14.91,14.91,0.438,6.5305800000000005,6.5305800000000005,90,39.42,
2024-06-02T02:30:00+01:00,14.7,14.7,0.439,6.4533,6.4533,85,37.315,
2024-06-02T03:00:00+01:00,12.81,12.81,0.433,5.54673,5.54673,76,32.908,
2024-06-02T03:30:00+01:00,12.81,12.81,0.423,5.41863,5.41863,81,34.263,
2024-06-02T04:00:00+01:00,12.81,12.81,0.42,5.3802,5.3802,79,33.18,
2024-06-02T04:30:00+01:00,12.6,12.6,0.413,5.203799999999999,5.203799999999999,78,32.214,
2024-06-02T05:00:00+01:00,11.97,11.97,0.427,5.111190000000001,5.111190000000001,79,33.733,
2024-06-02T05:30:00+01:00,10.521,10.521,0.426,4.481946000000001,4.481946000000001,81,34.506,
2024-06-02T06:00:00+01:00,10.08,10.08,0.423,4.26384,4.26384,83,35.109,
2024-06-02T06:30:00+01:00,12.096,12.096,0.411,4.971456,4.971456,72,29.592,
2024-06-02T07:00:00+01:00,10.92,10.92,0.423,4.61916,4.61916,72,30.456,
2024-06-02T07:30:00+01:00,13.02,13.02,0.509,6.62718,6.62718,76,38.684,
2024-06-02T08:00:00+01:00,12.264,12.264,0.419,5.138616,5.138616,74,31.006,
2024-06-02T08:30:00+01:00,13.02,13.02,0.412,5.36424,5.36424,69,28.427999999999997,
2024-06-02T09:00:00+01:00,11.97,11.97,0.48,5.7456000000000005,5.7456000000000005,63,30.24,
2024-06-02T09:30:00+01:00,11.97,11.97,0.472,5.64984,5.64984,55,25.959999999999997,
2024-06-02T10:00:00+01:00,11.97,11.97,0.53,6.344100000000001,6.344100000000001,51,27.03,
